Date,Regime_droit_commun,Regime_derogatoire,Inscriptions_hypotheques,pourcentage_droit_commun,pourcentage_regime_derogatoire,pourcentage_inscriptions_hypotheques
2000-01-31,100536534.04070733,61449861.29680249,41068748.91697677,49.511936479041424,30.262646889550414,20.225416631408166
2000-02-29,150359667.6603505,80812969.95585585,67051016.04729172,50.418424498953215,27.098108739235528,22.483466761811265
2000-03-31,128062404.69282864,81260229.96426086,54021782.931909665,48.629246013748904,30.857016339371757,20.513737646879342
2000-04-30,99475743.77857156,44382202.898462355,40391849.87227313,53.98960847804838,24.088060735841978,21.922330786109647
2000-05-31,133794318.44885145,65037177.2336703,60117431.477977976,51.66822659432147,25.115831892734374,23.215941512944152
2000-06-30,109082300.35870111,50543048.8075692,42245045.53398063,54.03580872800736,25.037375531275146,20.926815740717483
2000-07-31,125943451.69886404,61026662.82495143,71868811.52270652,48.65707551121109,23.577080834427083,27.76584365436182
2000-08-31,134837172.7051291,52286354.13601806,56592810.19944905,55.32545513461786,21.45377481498446,23.22077005039769
2000-09-30,140774315.5000079,64647784.33139165,60005229.001291245,53.03685800520693,24.3561145778405,22.607027416952562
2000-10-31,156204749.6982813,62158114.02271795,71291944.44148016,53.92789806915946,21.459375874696647,24.612726056143888
2000-11-30,127574613.91444947,60304842.136501834,61462565.38157227,51.16450615965405,24.18559125735708,24.64990258298886
2000-12-31,119843107.55147716,62491240.53355124,83537894.5062964,45.075449164390335,23.504236442465796,31.42031439314386
2001-01-31,107905223.35561799,73039924.8731243,46198887.02054149,47.50519785262916,32.155774987868455,20.33902715950238
2001-02-28,131436229.02960104,80809234.95493352,52419238.86271001,49.66141220027423,30.53268308376348,19.805904715962296
2001-03-31,145712612.69741353,66529259.28579668,53039909.628222585,54.92748571435777,25.07871399297383,19.993800292668396
2001-04-30,101069118.16752516,62523127.78632339,43110193.706802934,48.89594836589875,30.247890585601777,20.85616104849948
2001-05-31,111880506.04135767,63117856.81073607,46985523.949486524,50.400282494991075,28.43353079368045,21.166186711328475
2001-06-30,131982585.07340963,63422500.763515495,52414538.35134518,53.25751966000139,25.592202785092184,21.15027755490642
2001-07-31,151273022.90880513,96322853.47972505,50703679.25539835,50.71178285272919,32.29064598228997,16.997571164980833
2001-08-31,164146575.93472335,92648984.6133207,60467403.605216,51.73833522384579,29.20258431695318,19.05908045920105
2001-09-30,225237595.6716851,80526950.19134893,57685310.67331141,61.97212397280478,22.156275134833116,15.871600892362112
2001-10-31,174670733.0753637,109775361.29146676,75679274.7085556,48.50275711589743,30.482540447875856,21.014702436226713
2001-11-30,147652477.5172842,65976377.516615674,64714175.87839854,53.046946077053825,23.703261870926383,23.249792052019785
2001-12-31,129499874.17126499,75883607.20799279,74399617.65786476,46.28581019258869,27.122298476622532,26.591891330788776
2002-01-31,136093433.9737374,77251148.33333333,64291214.99999999,49.01869113917444,27.8246353973915,23.15667346343405
2002-02-28,151709868.10678214,111000461.66666667,90301643.33333333,42.97584208592597,31.44382347425091,25.580334439823122
2002-03-31,127941792.81717172,67013545.0,64633878.333333336,49.28625106791548,25.815226839448822,24.898522092635698
2002-04-30,141775914.894228,69363996.66666666,67069359.99999999,50.960168975963114,24.932309508414143,24.107521515622746
2002-05-31,115559480.81096682,77629406.66666667,50928668.333333336,47.337636339621,31.800009798057804,20.862353862321196
2002-06-30,151043799.13780665,66020803.333333336,68489158.33333333,52.89504810312429,23.12027099462354,23.98468090225216
2002-07-31,174873095.7842713,92528550.0,68485168.33333333,52.06310234108883,27.54753866807133,20.389358990839842
2002-08-31,166555380.537518,81636890.0,73737388.33333333,51.736575350559754,25.358611035198315,22.90481361424192
2002-09-30,190308784.7582973,85789570.0,66561611.666666664,55.53866906129266,25.03635627326377,19.42497466544356
2002-10-31,181646460.8730159,62989815.0,61580349.99999999,59.319594537085116,20.570344546256305,20.110060916658583
2002-11-30,147643303.27561328,75512823.33333333,56466991.666666664,52.80082140064227,27.005214661437027,20.19396393792069
2002-12-31,157809156.13059166,76961688.33333333,56259041.666666664,54.22438163611112,26.444599678948048,19.33101868494082
2003-01-31,156188211.00115442,95811620.0,70898103.33333333,48.370768095208724,29.672416516839466,21.95681538795181
2003-02-28,179610607.83419916,71681700.0,77971395.0,54.549167214049746,21.770301245775435,23.680531540174808
2003-03-31,154129960.4845599,74094075.0,54349130.0,54.545151242601534,26.22120004670032,19.233648710698148
2003-04-30,146765082.7629149,83054575.0,81209638.33333333,47.18689994961064,26.703135698927444,26.10996435146191
2003-05-31,126548534.5743146,76463014.99999994,67246766.6666666,46.82502885923226,28.29256692764274,24.88240421312501
2003-06-30,146813199.15873018,84952075.0,64835033.333333336,49.498667213168225,28.641937602264004,21.85939518456777
2003-07-31,211866261.79473308,85292468.33333333,88537063.33333333,54.930923641493266,22.113922365572638,22.95515399293409
2003-08-31,168662722.55642137,99523061.66666666,58690970.0,51.598261539672485,30.446662352362875,17.955076107964647
2003-09-30,238636648.83838385,110391199.99999999,97360050.0,53.45947985135301,24.729881855504214,21.810638293142777
2003-10-31,223566996.30591634,100775833.33333333,117025076.66666666,50.65320634141439,22.83261467214262,26.514178986442992
2003-11-30,187920224.6757554,73113051.66666667,100952178.33333333,51.91375019310733,20.19778715477861,27.888462652114065
2003-12-31,180512388.74098122,98139245.0,120479625.0,45.22632211528336,24.58821323831419,30.185464646402455
2004-01-31,178188877.50000003,91729656.66666666,88000310.0,49.7847152794854,25.62861893461868,24.586665785895928
2004-02-29,167816423.8816739,128950166.66666666,94591455.0,42.88053504727174,32.949409915922814,24.170055036805437
