Saison;Compagnie Operating;Numéro de vol;Compagnie Marketing;Numéro de vol Marketing;Aéroport de départ;Aéroport d'arrivée;Jour de départ en Local;Jour d'arrivée  en Local;Heure de départ en Local;Heure d'arrivée en Local;Date de début de période;Date de fin  de période;Compagnie propriétaire;Type Avion
W19;Sham Wing Airlines;8;Thai Flying Helicopter Service;2307;Charles de Gaulle International Airport;John F Kennedy International Airport;1;1;19:20;21:55;;;Sham Wing Airlines;Boeing 777-200/Boeing 777-200ER
W19;Sham Wing Airlines;8;Thai Flying Helicopter Service;2307;Charles de Gaulle International Airport;John F Kennedy International Airport;2;2;19:20;21:55;;;Sham Wing Airlines;Boeing 777-200/Boeing 777-200ER
W19;Sham Wing Airlines;8;Thai Flying Helicopter Service;2307;Charles de Gaulle International Airport;John F Kennedy International Airport;3;3;19:20;21:55;;;Sham Wing Airlines;Boeing 777-200/Boeing 777-200ER
W19;Sham Wing Airlines;8;Thai Flying Helicopter Service;2307;Charles de Gaulle International Airport;John F Kennedy International Airport;4;4;19:20;21:55;;;Sham Wing Airlines;Boeing 777-200/Boeing 777-200ER
W19;Sham Wing Airlines;8;Thai Flying Helicopter Service;2307;Charles de Gaulle International Airport;John F Kennedy International Airport;5;5;19:20;21:55;;;Sham Wing Airlines;Boeing 777-200/Boeing 777-200ER
W19;Sham Wing Airlines;8;Thai Flying Helicopter Service;2307;Charles de Gaulle International Airport;John F Kennedy International Airport;6;6;19:20;21:55;;;Sham Wing Airlines;Boeing 777-200/Boeing 777-200ER
W19;Sham Wing Airlines;8;Thai Flying Helicopter Service;2307;Charles de Gaulle International Airport;John F Kennedy International Airport;7;7;19:20;21:55;;;Sham Wing Airlines;Boeing 777-200/Boeing 777-200ER
W19;Sham Wing Airlines;9;Thai Flying Helicopter Service;2378;John F Kennedy International Airport;Charles de Gaulle International Airport;1;2;23:55;13:05;;;Sham Wing Airlines;Boeing 777-200/Boeing 777-200ER
W19;Sham Wing Airlines;9;Thai Flying Helicopter Service;2378;John F Kennedy International Airport;Charles de Gaulle International Airport;2;3;23:55;13:05;;;Sham Wing Airlines;Boeing 777-200/Boeing 777-200ER
W19;Sham Wing Airlines;9;Thai Flying Helicopter Service;2378;John F Kennedy International Airport;Charles de Gaulle International Airport;3;4;23:55;13:05;;;Sham Wing Airlines;Boeing 777-200/Boeing 777-200ER
