Index,date_mutation,valeur_fonciere,num_voie,type_voie,code_voie,voie,code_postal,commune,code_dep,code_com,no_plan,no_vol,nb_lot,code_typ_local,surface_reel_bati,nb_piece_prin,surf_terrain,tt_surf_carez,vente,vente_etat_futur_achev,appartement,dependance,local_indus_com,maison
995231,26/06/2020,321480.0,36,BD,5960,DES MINIMES,31200,TOULOUSE,31,555,97,,2,,0,0,0,0.0,2,1,0,0,0,0
1010795,31/01/2020,500000.0,215,AV,6160,DE MURET,31300,TOULOUSE,31,555,130,,3,2,84,4,0,0.0,2,0,1,1,0,0
1048757,01/08/2020,110000.0,19,AV,0328,PASTEUR,31220,CAZERES SUR GARONNE,31,135,2104,,0,,0,0,206,0.0,1,0,0,0,0,0
995068,26/06/2020,1080000.0,12,RUE,3300,DES FILATIERS,31000,TOULOUSE,31,555,129,,3,2,126,5,0,54.78,3,0,1,0,0,0
1010017,14/01/2020,400000.0,11,RUE,8060,SAINTE ODILE,31100,TOULOUSE,31,555,527,,3,3,109,5,0,0.0,2,0,1,1,0,0
1017213,10/06/2020,218000.0,1,PL,0683,DES ORMEAUX,31120,PORTET SUR GARONNE,31,433,75,,1,1,103,5,0,84.61,1,0,0,0,0,1
1009967,13/01/2020,880000.0,932,RTE,0008,DE VACQUIERS,31340,LA-MAGDELAINE-SUR-TARN,31,311,266,,0,1,322,10,3680,0.0,2,0,0,0,0,1
1040945,30/10/2020,770700.0,22,AV,1240,DE TOULOUSE,31650,ST ORENS DE GAMEVILLE,31,506,85,,3,,0,0,0,0.0,3,1,0,0,0,0
1003163,22/10/2020,804910.0,13,RUE,1236,DU BOIS FLEURI,31500,TOULOUSE,31,555,232,,0,1,151,7,588,0.0,1,0,0,0,0,1
1014265,24/03/2020,250000.0,6,ALL,1036,DE PORQUEROLLES,31770,COLOMIERS,31,149,651,,0,1,100,5,425,0.0,1,0,0,0,0,1
991830,18/06/2020,155000.0,1,RUE,3416,DU FOURBASTARD,31000,TOULOUSE,31,555,38,,1,2,45,2,0,36.47,1,0,1,0,0,0
1033431,23/12/2020,488000.0,,,B193,LE PAGE,31100,TOULOUSE,31,555,172,,2,,0,0,0,0.0,2,1,0,0,0,0
998695,07/08/2020,88000.0,5,RUE,8648,DE TURIN,31500,TOULOUSE,31,555,360,,4,2,38,2,0,0.0,2,0,1,1,0,0
1045362,24/03/2020,307000.0,14,RUE,1030,DU PETIT QUINQUIN,31470,FONSORBES,31,187,26,,0,1,118,5,1047,0.0,1,0,0,0,0,1
1011913,31/01/2020,158760.0,10,RUE,6153,DES MUNITIONNETTES,31300,TOULOUSE,31,555,147,,1,2,61,3,0,0.0,1,0,1,0,0,0
989940,13/05/2020,350000.0,20,CHE,6262,DE NICOL,31200,TOULOUSE,31,555,22,,4,2,61,3,0,0.0,2,0,1,1,0,0
1040630,29/10/2020,4500.0,,,B183,LA TEOULO,31250,REVEL,31,451,6,,0,,0,0,3900,0.0,1,0,0,0,0,0
1009864,13/01/2020,235000.0,20,RUE,0078,DES JARDINS DE TEOLARIO,31840,AUSSONNE,31,32,269,,1,1,78,4,0,0.0,1,0,0,0,0,1
1057496,22/06/2020,268800.0,2,CHEM,0009,DE LA CHAPELLE,31210,PONLAT-TAILLEBOURG,31,430,37,,0,1,208,8,1008,0.0,2,0,0,0,0,1
1017425,22/06/2020,360000.0,22,ALL,0002,DES ACACIAS,31700,BEAUZELLE,31,56,309,,0,1,114,5,965,0.0,1,0,0,0,0,1
1047061,22/06/2020,366000.0,18,CHE,0001,DE MARSOULA,31190,PUYDANIEL,31,442,898,,0,1,90,5,1015,0.0,2,0,0,0,0,1
1023233,26/08/2020,823750.0,1225,RTE,0002,DE BEOU,31620,GARGAS,31,211,567,,0,1,264,12,2202,0.0,3,0,0,0,0,1
1006715,15/12/2020,1196000.0,4,ALL,7397,RENEE CANAVAGGIA,31500,TOULOUSE,31,555,167,,4,,0,0,0,0.0,4,1,0,0,0,0
1050480,26/08/2020,280000.0,10,AV,0003,DU ONZE NOVEMBRE 1918,31470,STE FOY DE PEYROLIERES,31,481,1251,,0,1,95,5,0,0.0,1,0,0,0,0,1
1049123,26/08/2020,245700.0,32,AV,0004,DU 19 MARS 1962,31470,STE FOY DE PEYROLIERES,31,481,1148,,0,1,100,4,302,0.0,1,0,0,0,0,1
1034279,13/01/2020,215000.0,10,CHE,0080,DE CANTELOUP,31670,LABEGE,31,254,344,,3,2,60,3,0,60.72,1,0,1,0,0,0
1006452,11/12/2020,410000.0,77,CHE,5280,LINIERES,31200,TOULOUSE,31,555,120,,0,1,125,5,217,0.0,1,0,0,0,0,1
1043565,13/01/2020,165000.0,8,RUE,0062,CHARLES DE GAULLE,31860,VILLATE,31,580,188,,0,1,71,3,181,0.0,1,0,0,0,0,1
1039305,22/08/2020,100000.0,5,RUE,0441,DE LA COLOMBE,31250,REVEL,31,451,133,,0,1,39,2,100,0.0,2,0,0,1,0,1
993698,17/06/2020,555000.0,38,RUE,6452,PAGES,31200,TOULOUSE,31,555,98,,0,1,119,4,384,0.0,1,0,0,0,0,1
999547,18/09/2020,733146.0,36,RTE,0800,DE PECHBONNIEU,31780,CASTELGINEST,31,116,48,,6,3,148,7,0,0.0,6,0,1,1,0,0
1014448,24/04/2020,16000.0,30,RUE,0540,DU PETIT BARRY,31270,CUGNAUX,31,157,490,,2,3,0,0,0,0.0,2,0,0,1,0,0
989150,28/04/2020,2664000.0,12,RUE,1300,BOSSUET,31400,TOULOUSE,31,555,146,,0,1,140,4,587,0.0,3,0,0,1,0,1
987869,19/03/2020,250382.0,21,IMP,6232,NEGRENEYS,31200,TOULOUSE,31,555,161,,3,2,59,3,0,0.0,2,0,1,1,0,0
984341,24/01/2020,160000.0,89,RUE,3256,DU FERETRA,31400,TOULOUSE,31,555,17,,3,2,25,1,0,0.0,2,0,1,1,0,0
985282,10/02/2020,142000.0,16,RUE,7940,ST PAPOUL,31000,TOULOUSE,31,555,397,,3,2,30,1,0,0.0,1,0,1,0,0,0
