Index,date_mutation,valeur_fonciere,num_voie,type_voie,code_voie,voie,code_postal,commune,code_dep,code_com,no_plan,no_vol,nb_lot,code_typ_local,surface_reel_bati,nb_piece_prin,surf_terrain,tt_surf_carez,vente,vente_etat_futur_achev,appartement,dependance,local_indus_com,maison
1030502,26/04/2019,810660.0,9,RUE,5101,LAURENT CHAFFIN,31100,TOULOUSE,31,555,151,,4,3,114,5,0,113.76,3,0,1,1,0,0
1036215,05/08/2019,120000.0,8,AV,2000,MONTAIGNE,31830,PLAISANCE DU TOUCH,31,424,224,,1,4,87,0,0,0.0,1,0,0,0,1,0
1037850,28/08/2019,395000.0,,,B233,LA REPUBLIQUE,31100,TOULOUSE,31,555,13,,2,,0,0,0,0.0,2,1,0,0,0,0
1031469,09/05/2019,470000.0,15,RUE,0286,FEDERICO GARCIA LORCA,31270,CUGNAUX,31,157,291,,0,1,138,5,601,0.0,1,0,0,0,0,1
1054533,21/11/2019,60000.0,51,RUE,0230,DE LA REPUBLIQUE,31560,CALMONT,31,100,59,,0,1,100,3,278,0.0,1,0,0,0,0,1
1002463,02/04/2019,375000.0,18,RUE,1150,DES VIGNES,31780,CASTELGINEST,31,116,25,,3,2,57,3,0,0.0,3,0,1,1,0,0
1034261,08/07/2019,249765.0,56,CHE,1150,DE LA SAVE,31770,COLOMIERS,31,149,124,,0,1,106,6,142,0.0,1,0,0,0,0,1
1048653,05/03/2019,168000.0,4,CHE,0295,DE LAGARDE,31380,GRAGNAGUE,31,228,330,,3,2,62,3,0,0.0,1,0,1,0,0,0
1004233,26/04/2019,195000.0,63,AV,7772,DE SAINT EXUPERY,31400,TOULOUSE,31,555,187,,1,,0,0,0,0.0,1,1,0,0,0,0
1073257,25/10/2019,110000.0,47,AV,0760,DE L ISLE,31800,SAINT-GAUDENS,31,483,32,,2,2,54,2,0,0.0,2,0,1,1,0,0
1001861,29/03/2019,135000.0,57,AV,4256,HONORE SERRES,31000,TOULOUSE,31,555,95,,1,2,50,3,0,49.9,1,0,1,0,0,0
1037189,05/08/2019,435000.0,15,RUE,4669,JEAN WEBER,31100,TOULOUSE,31,555,638,,3,3,59,3,0,59.28,3,0,1,1,0,0
1044914,17/12/2019,473000.0,14,,B101,LE VILLAGE,31530,THIL,31,553,47,,0,1,124,5,171,0.0,2,0,0,0,0,1
1062013,26/07/2019,96000.0,,,B259,MESPLES,31310,MONTESQUIEU VOLVESTRE,31,375,72,,0,,0,0,73407,0.0,4,0,0,0,0,0
999587,15/02/2019,76000.0,7,PL,2244,COMMERCIALE JOLIMONT,31500,TOULOUSE,31,555,555,,1,2,31,1,0,31.01,1,0,1,0,0,0
1030782,09/05/2019,246000.0,5,SQ,0266,DESCARTES,31700,BLAGNAC,31,69,376,,2,3,46,2,0,46.59,2,0,1,1,0,0
997404,25/01/2019,248000.0,9,BD,6880,PIERRE CURIE,31200,TOULOUSE,31,555,27,,2,2,75,4,0,77.16,1,0,1,0,0,0
1056874,19/01/2019,150000.0,37,AV,0142,JUSTIN PAGES,31190,AUTERIVE,31,33,154,,3,3,33,2,0,0.0,3,0,1,1,0,0
1039123,20/09/2019,334500.0,2,ALL,0645,DE REGUSSOL,31620,CASTELNAU D ESTRETEFONDS,31,118,64,,3,3,62,3,0,0.0,3,0,1,1,0,0
1013146,28/08/2019,798000.0,6,IMP,7262,DU RAMIER DES CATALANS,31000,TOULOUSE,31,555,380,,3,3,94,4,0,0.0,2,0,1,1,0,0
1019856,21/11/2019,6000.0,5,ALL,0249,AMELIA EARHART,31400,TOULOUSE,31,555,200,,1,3,0,0,0,0.0,1,0,0,1,0,0
1056417,14/01/2019,147000.0,15,AV,1013,DE PROVENCE,31470,FONSORBES,31,187,32,,2,3,42,2,0,0.0,2,0,1,1,0,0
1013280,28/08/2019,498000.0,95,AV,7268,DE RANGUEIL,31400,TOULOUSE,31,555,51,,2,3,56,2,0,56.75,2,1,1,1,0,0
1018764,08/11/2019,155829.0,62,AV,4256,HONORE SERRES,31000,TOULOUSE,31,555,692,,1,2,45,2,0,0.0,1,1,1,0,0,0
1022185,21/12/2019,195000.0,4,RUE,0090,DES BAMBOUS,31780,CASTELGINEST,31,116,255,,2,2,42,2,0,41.9,2,0,1,1,0,0
1021035,21/11/2019,238000.0,68,CHE,0260,DE L OUSTALET,31140,AUCAMVILLE,31,22,430,,2,2,54,3,0,54.0,2,0,1,1,0,0
1021000,27/11/2019,611520.0,50,CHE,0736,VERDALE,31240,ST JEAN,31,488,34,,3,2,82,4,0,82.4,3,0,1,1,0,0
1039160,19/09/2019,68000.0,24,RUE,6626,PAUL LAMBERT,31100,TOULOUSE,31,555,80,,2,2,65,3,0,0.0,1,0,1,0,0,0
1037542,28/08/2019,1895730.0,26,RUE,7276,RAPAS,31300,TOULOUSE,31,555,112,,5,,170,6,24,0.0,5,0,1,1,0,0
1017364,30/10/2019,505412.0,3,IMP,3484,FRANCOIS AYRAL,31200,TOULOUSE,31,555,470,,2,,0,0,0,0.0,2,1,0,0,0,0
1036087,06/08/2019,159800.0,5,ALL,3400,DU FOREZ,31300,TOULOUSE,31,555,1,,3,2,90,5,0,0.0,1,0,1,0,0,0
1065541,21/11/2019,263400.0,1,CHE,0257,DES PERRILS,31410,LAVERNOSE-LACASSE,31,287,35,,0,1,103,3,671,0.0,1,0,0,0,0,1
1045188,23/12/2019,270000.0,4,RUE,0260,DANIELLE CASANOVA,31120,PORTET SUR GARONNE,31,433,44,,0,1,162,7,630,0.0,1,0,0,0,0,1
1067534,18/01/2019,19000.0,20,RUE,1390,DE LA RESIDENCE,31800,SAINT-GAUDENS,31,483,135,,2,2,67,4,0,70.34,1,0,1,0,0,0
999297,12/02/2019,113000.0,62,RUE,5936,DU MIDI,31400,TOULOUSE,31,555,27,,2,2,67,4,0,56.65,1,0,1,0,0,0
1027852,05/03/2019,282680.0,32,RUE,0245,DE LA PLAINE,31150,GRATENTOUR,31,230,874,,0,1,73,3,717,0.0,1,0,0,0,0,1
1012725,27/08/2019,110000.0,20,RUE,8476,THOMAS EDISON,31400,TOULOUSE,31,555,129,,2,2,45,2,0,39.89,1,0,1,0,0,0
999644,15/02/2019,328000.0,7,RUE,2224,COMENGES,31400,TOULOUSE,31,555,439,,0,1,76,5,188,0.0,1,0,0,0,0,1
999174,31/01/2019,39000.0,31,RUE,8320,STALINGRAD,31000,TOULOUSE,31,555,388,,1,2,16,1,0,6.37,1,0,1,0,0,0
1057844,07/03/2019,229090.0,27,RTE,0435,DE BRAGOT,31470,FONSORBES,31,187,272,,0,1,83,4,665,0.0,1,0,0,0,0,1
1051673,24/07/2019,1.0,,,B088,JALABERTIE,31540,ST FELIX LAURAGAIS,31,478,144,,0,,0,0,4,0.0,1,0,0,0,0,0
1011928,09/08/2019,140000.0,71,AV,2384,CRAMPEL,31400,TOULOUSE,31,555,391,,2,2,27,1,0,25.87,2,0,1,1,0,0
1066626,23/12/2019,178000.0,21,AV,0274,DES PYRENEES,31410,LAVERNOSE-LACASSE,31,287,16,,2,2,55,3,0,55.5,2,0,1,1,0,0
1009791,24/06/2019,341240.0,52,RUE,7292,RASPAIL,31400,TOULOUSE,31,555,473,,0,4,69,0,138,0.0,1,0,0,0,1,0
1002132,04/04/2019,104000.0,54,AV,3940,DE LA GLOIRE,31500,TOULOUSE,31,555,337,,2,2,57,3,0,60.85,1,0,1,0,0,0
1003394,19/04/2019,366700.0,25,RUE,4892,DU LAC D OO,31500,TOULOUSE,31,555,248,,0,1,47,3,171,0.0,1,0,0,0,0,1
1031256,09/05/2019,569020.0,21,RUE,0250,DE LA CRESSONNIERE,31270,CUGNAUX,31,157,174,,0,1,178,5,900,0.0,1,0,0,0,0,1
1046752,30/12/2019,223500.0,10,IMP,3121,DU PRAT,31170,TOURNEFEUILLE,31,557,260,,3,2,60,3,0,0.0,1,1,1,0,0,0
1060934,06/06/2019,147260.0,3156,RTE,1115,DE TARBES,31470,FONSORBES,31,187,56,,2,2,42,2,0,0.0,2,0,1,1,0,0
1006935,09/05/2019,7140000.0,11,RUE,0252,DES AMIDONNIERS,31000,TOULOUSE,31,555,212,,0,2,391,15,1338,0.0,6,0,1,0,0,0
1040386,30/09/2019,457850.0,18,IMP,2472,DES DAMES DE LA PORTE,31300,TOULOUSE,31,555,22,,2,,0,0,0,0.0,2,1,0,0,0,0
1000415,13/03/2019,480000.0,173,AV,4540,JEAN CHAUBET,31500,TOULOUSE,31,555,75,,2,2,62,3,0,0.0,2,1,1,1,0,0
1043402,25/11/2019,186500.0,9,RUE,0590,DES AUBEPINES,31830,PLAISANCE DU TOUCH,31,424,241,,0,,0,0,43,0.0,1,1,0,0,0,0
1068818,07/03/2019,96980.0,10,ALL,0420,D ETIGNY,31110,BAGNERES-DE-LUCHON,31,42,218,,2,2,25,2,0,25.74,2,0,1,1,0,0
1008646,04/07/2019,100000.0,2,RUE,3416,DU FOURBASTARD,31000,TOULOUSE,31,555,39,,1,2,17,1,0,16.32,1,0,1,0,0,0
1042004,25/10/2019,1835000.0,219,CHE,0720,DU TUCAUT,31270,CUGNAUX,31,157,478,,0,,60,3,4167,0.0,4,0,0,0,0,1
1062202,24/07/2019,135000.0,,,B076,PILLORRE,31470,ST LYS,31,499,2433,,0,,0,0,729,0.0,1,0,0,0,0,0
1015072,06/09/2019,150000.0,2,IMP,3255,DU FERETRA,31400,TOULOUSE,31,555,283,,2,2,26,2,0,20.18,2,0,1,1,0,0
1004573,17/05/2019,957000.0,173,AV,4540,JEAN CHAUBET,31500,TOULOUSE,31,555,75,,3,3,84,4,0,0.0,3,1,1,1,0,0
1023251,23/12/2019,388500.0,5,IMP,0285,PASTEUR,31140,AUCAMVILLE,31,22,375,,3,3,60,3,0,60.07,3,0,1,1,0,0
1072434,28/09/2019,390000.0,32,,B074,VILLAGE,31160,IZAUT-DE-L HOTEL,31,241,140,,0,1,200,6,1868,0.0,3,0,0,0,0,1
1018385,28/10/2019,199000.0,12,PORT,8066,SAINT SAUVEUR,31000,TOULOUSE,31,555,73,,2,2,49,2,0,48.77,1,0,1,0,0,0
1045250,17/12/2019,771000.0,,,B145,MENESQUIL OUEST,31820,PIBRAC,31,417,239,,3,,0,0,0,0.0,3,1,0,0,0,0
1071331,26/07/2019,708.0,,,B201,PEYROUNET,31160,CHEIN-DESSUS,31,140,169,,0,,0,0,2880,0.0,1,0,0,0,0,0
1001476,05/03/2019,339800.0,194,RUE,2888,EDMOND ROSTAND,31200,TOULOUSE,31,555,799,,2,,0,0,0,0.0,2,1,0,0,0,0
1027231,05/03/2019,111600.0,8,IMP,0225,DES TUILERIES,31150,BRUGUIERES,31,91,210,,0,1,132,4,393,0.0,1,0,0,0,0,1
1000650,27/02/2019,230500.0,6,IMP,4261,DES HORTENSIAS,31200,TOULOUSE,31,555,203,,2,3,42,2,0,42.46,2,0,1,1,0,0
1000732,11/03/2019,359600.0,3,RUE,4385,JACOB INSEL,31200,TOULOUSE,31,555,239,,2,3,69,3,0,70.02,2,0,1,1,0,0
1035711,15/07/2019,376000.0,23,RUE,4000,DE LA GRAVETTE,31300,TOULOUSE,31,555,286,,2,2,56,3,0,0.0,2,0,1,1,0,0
999965,11/03/2019,186600.0,235,CHE,4380,DES IZARDS,31200,TOULOUSE,31,555,923,,2,2,68,3,0,58.5,2,0,1,1,0,0
1030635,09/05/2019,735000.0,1,RUE,2885,EDMOND HARAUCOURT,31100,TOULOUSE,31,555,48,,3,,0,0,0,0.0,3,1,0,0,0,0
1049890,09/05/2019,464400.0,9000,RUE,0227,DES PAS SAGES,31320,PECHABOU,31,409,41,,4,3,81,4,0,84.09,3,0,1,1,0,0
1052176,24/07/2019,587000.0,,,B067,LA PRIOULE,31570,BOURG ST BERNARD,31,82,30,,0,,0,0,497,0.0,2,0,0,0,0,0
1038713,20/09/2019,127000.0,12,RUE,0600,DU PRE VICINAL,31270,CUGNAUX,31,157,24,,2,2,27,1,0,0.0,2,0,1,1,0,0
1022067,17/12/2019,551800.0,,,B116,FOUNDEYRE SUD,31200,TOULOUSE,31,555,199,,2,,0,0,0,0.0,2,1,0,0,0,0
1004249,19/04/2019,455800.0,5,RUE,2203,DU COLONEL PAUL PAILLOLE,31200,TOULOUSE,31,555,804,,2,,0,0,0,0.0,2,1,0,0,0,0
1061918,24/07/2019,1950000.0,,,B062,LA GUINGUETTE,31390,CARBONNE,31,107,3363,,0,,0,0,2371,0.0,15,0,0,0,0,0
1051817,24/07/2019,69500.0,,,B061,PLAINE DE VILLEFRANCHE,31290,VILLEFRANCHE-DE-LAURAGAIS,31,582,1532,,0,,0,0,415,0.0,1,0,0,0,0,0
1072438,28/09/2019,145000.0,,,B060,LIARIOU,31160,FOUGARON,31,191,919,,0,,0,0,1600,0.0,1,0,0,0,0,0
1023920,30/12/2019,84900.0,58,AV,5789,MAURICE BOURGES-MAUNOURY,31200,TOULOUSE,31,555,703,,1,4,26,0,0,20.4,1,0,0,0,1,0
1063969,28/09/2019,1560000.0,,,B062,LA GUINGUETTE,31390,CARBONNE,31,107,3363,,0,,0,0,2173,0.0,12,0,0,0,0,0
1003160,04/04/2019,7000000.0,27,CHE,3924,DE LA GLACIERE,31200,TOULOUSE,31,555,24,,0,4,3570,0,5016,0.0,5,0,0,0,1,0
1037599,24/07/2019,456000.0,25,RUE,7068,POUVILLON,31300,TOULOUSE,31,555,95,,0,,0,0,85,0.0,1,0,0,0,0,0
1004245,19/04/2019,674286.0,8,RUE,4876,LABAT DE SAVIGNAC,31500,TOULOUSE,31,555,86,,3,2,110,3,0,109.16,2,0,1,1,0,0
1018216,31/10/2019,431800.0,5,RUE,2203,DU COLONEL PAUL PAILLOLE,31200,TOULOUSE,31,555,804,,2,,0,0,0,0.0,2,1,0,0,0,0
1019045,21/11/2019,940000.0,67,RTE,0220,DE MONTRABE,31180,ROUFFIAC TOLOSAN,31,462,1,,0,1,290,10,8172,0.0,2,0,0,0,0,1
1001226,07/03/2019,212000.0,32,AV,0400,DE LESTANG,31240,ST JEAN,31,488,233,,0,1,77,4,285,0.0,1,0,0,0,0,1
1001016,12/03/2019,167500.0,80,BD,5716,DE LA MARQUETTE,31000,TOULOUSE,31,555,28,,1,2,50,2,0,0.0,1,0,1,0,0,0
1056727,19/01/2019,71500.0,50,RUE,0195,VICTOR HUGO,31390,CARBONNE,31,107,148,,2,2,37,2,0,36.33,1,0,1,0,0,0
1024987,14/01/2019,92513.0,,,,,,TOULOUSE,31,555,591,,1,,0,0,0,0.0,1,1,0,0,0,0
1035444,24/07/2019,92188.0,,,B051,VILLAGE,31880,LA SALVETAT ST GILLES,31,526,223,,0,,0,0,454,0.0,1,0,0,0,0,0
1035483,24/07/2019,585000.0,,,B050,ROUZIES,31620,VILLAUDRIC,31,581,689,,0,,132,4,6832,0.0,3,0,0,0,0,1
1020169,21/11/2019,154000.0,12,AV,0214,MARIE CURIE,31130,QUINT,31,445,85,,0,,0,0,740,0.0,1,0,0,0,0,0
1001153,18/03/2019,466000.0,63,AV,3620,DE FRONTON,31200,TOULOUSE,31,555,215,,2,2,56,3,0,0.0,2,1,1,1,0,0
1072433,28/09/2019,20000.0,,,B052,VERGER,31160,CABANAC-CAZAUX,31,95,984,,0,,0,0,294,0.0,1,0,0,0,0,0
1011682,31/07/2019,161000.0,7,RUE,1564,CAMILLE DESMOULINS,31400,TOULOUSE,31,555,314,,2,4,90,0,0,30.55,1,0,0,0,1,0
1072431,28/09/2019,40000.0,,,B054,VILLAGE,31160,CABANAC-CAZAUX,31,95,878,,0,,0,0,159,0.0,2,0,0,0,0,0
1002183,18/03/2019,885000.0,,,,,,TOULOUSE,31,555,666,,4,,0,0,0,0.0,4,1,0,0,0,0
1018196,31/10/2019,160000.0,21,CHE,2296,CORDEAU,31200,TOULOUSE,31,555,186,,2,3,35,2,0,36.17,2,0,1,1,0,0
1036019,29/07/2019,810000.0,1,RUE,8809,VICENTE LOPEZ-TOVAR,31100,TOULOUSE,31,555,570,,3,3,91,4,0,92.6,3,0,1,1,0,0
1004476,23/04/2019,69000.0,2,RUE,6192,DE NAPLES,31500,TOULOUSE,31,555,360,,2,2,52,3,0,54.46,1,0,1,0,0,0
1045970,27/12/2019,495000.0,35,AV,0559,JULES MICHELET,31700,BLAGNAC,31,69,58,,0,1,108,5,539,0.0,1,0,0,0,0,1
1028508,05/04/2019,173000.0,17,RUE,2720,MICHEL MONTAGNE,31170,TOURNEFEUILLE,31,557,280,,3,2,61,3,0,61.99,1,0,1,0,0,0
1012471,20/08/2019,242000.0,23,RUE,0810,DE LA PEPINIERE,31780,CASTELGINEST,31,116,179,,0,1,92,4,602,0.0,1,0,0,0,0,1
1067510,14/01/2019,282680.0,32,RUE,1070,MICHEL TALAZAC,31800,SAINT-GAUDENS,31,483,155,,0,1,236,8,1047,0.0,2,0,0,0,0,1
1072439,28/09/2019,435000.0,29,,B044,GARRABE,31160,FOUGARON,31,191,978,,0,1,145,6,17217,0.0,3,0,0,0,0,1
998386,18/02/2019,180000.0,1,RUE,3821,DU GENERAL GIRAUD,31200,TOULOUSE,31,555,449,,1,3,0,0,0,0.0,1,0,0,1,0,0
1029395,04/04/2019,2250000.0,20,AV,3984,DE GRANDE BRETAGNE,31300,TOULOUSE,31,555,486,,0,4,128,5,642,0.0,6,0,1,1,1,0
1046768,31/12/2019,97350.0,96,BD,4524,JEAN BRUNHES,31300,TOULOUSE,31,555,303,,1,2,28,1,0,27.68,1,0,1,0,0,0
1054512,25/11/2019,856800.0,,RUE,0550,JEAN PINAUD,31320,CASTANET TOLOSAN,31,113,393,,4,,0,0,0,0.0,4,1,0,0,0,0
1033451,28/06/2019,230000.0,2,RUE,7560,RODOLOSE,31300,TOULOUSE,31,555,219,,2,3,44,2,0,0.0,2,0,1,1,0,0
1063524,12/09/2019,722250.0,903,,B327,PLAINE,31310,MONTESQUIEU VOLVESTRE,31,375,508,,0,1,200,6,3756,0.0,3,0,0,0,0,1
1013546,06/09/2019,100000.0,73,RUE,3204,DU FAUBOURG BONNEFOY,31500,TOULOUSE,31,555,188,,2,2,26,3,0,37.86,1,0,1,0,0,0
1052698,22/08/2019,237200.0,63,AV,0970,DE TOULOUSE,31320,CASTANET TOLOSAN,31,113,132,,2,,0,0,0,0.0,2,1,0,0,0,0
1008888,12/07/2019,524960.0,127,RTE,5096,DE LAUNAGUET,31200,TOULOUSE,31,555,269,,4,2,87,4,0,0.0,4,1,1,1,0,0
