Index,date_mutation,valeur_fonciere,num_voie,type_voie,code_voie,voie,code_postal,commune,code_dep,code_com,no_plan,no_vol,nb_lot,code_typ_local,surface_reel_bati,nb_piece_prin,surf_terrain,tt_surf_carez,vente,vente_etat_futur_achev,appartement,dependance,local_indus_com,maison
1320842,17/02/2022,367200.0,43,RUE,6540,PARGAMINIERES,31000,TOULOUSE,31,555,100,,2,3,22,1,0,0.0,2,0,1,1,0,0
1348798,13/07/2022,1678500.0,,,B037,LES SAULES,31450,POMPERTUZAT,31,429,270,,0,,0,0,1580,0.0,3,0,0,0,0,0
1395085,17/06/2022,180000.0,13,RTE,0120,DE GREPIAC,31190,AUTERIVE,31,33,150,,6,2,61,3,0,0.0,2,0,1,1,0,0
1359056,19/09/2022,58833.0,3,ALL,4586,JEAN GRIFFON,31400,TOULOUSE,31,555,30,,1,2,20,1,0,0.0,1,0,1,0,0,0
1328786,25/03/2022,78000.0,10,RUE,4434,JACQUELINE AURIOL,31400,TOULOUSE,31,555,192,,1,2,22,1,0,0.0,1,0,1,0,0,0
1371765,08/11/2022,304078.0,248,AV,3984,DE GRANDE BRETAGNE,31300,TOULOUSE,31,555,756,,2,3,46,2,0,0.0,2,0,1,1,0,0
1349208,18/07/2022,275000.0,,,B020,LE PARC,31140,AUCAMVILLE,31,22,446,,0,,0,0,148,0.0,1,0,0,0,0,0
1376420,07/12/2022,210000.0,4,RUE,1000,MONPLAISIR,31490,LEGUEVIN,31,291,56,,4,2,42,2,0,41.89,2,0,1,1,0,0
1334452,13/05/2022,176400.0,36,AV,0338,GEORGES POMPIDOU,31270,CUGNAUX,31,157,598,,2,3,35,2,0,0.0,2,0,1,1,0,0
1380609,20/12/2022,820000.0,,CHE,8436,DE LA TERRASSE,31500,TOULOUSE,31,555,715,,0,,0,0,350,0.0,2,0,0,0,0,0
1375397,15/12/2022,430000.0,14,RUE,0009,LEO FERRE,31140,MONTBERON,31,364,733,,0,1,195,9,451,0.0,2,0,0,0,0,1
1372286,02/12/2022,150000.0,22,ALL,1009,DE BELLEFONTAINE,31100,TOULOUSE,31,555,125,,2,3,45,2,0,0.0,2,0,1,1,0,0
1362555,07/10/2022,625959.0,10,IMP,3121,DU PRAT,31170,TOURNEFEUILLE,31,557,260,,9,3,58,2,0,0.0,3,0,1,1,0,0
1374961,15/12/2022,995250.0,15,RUE,0005,ALAIN DE FALGUIERES,31620,FRONTON,31,202,485,,0,2,97,4,327,0.0,3,0,1,1,0,0
1377297,15/12/2022,1058660.0,10,IMP,0004,DES ALBIGOTS,31570,ST PIERRE DE LAGES,31,512,51,,0,1,314,10,1444,0.0,2,0,0,0,0,1
1336807,10/05/2022,1321198.0,19,RUE,7580,ROLAND GARROS,31200,TOULOUSE,31,555,93,,0,1,120,5,388,0.0,2,0,0,1,0,1
1377210,15/12/2022,1532880.0,1533,RTE,0001,DE BESSIERES,31380,MONTJOIRE,31,383,379,,0,4,440,10,2882,0.0,4,0,0,0,1,1
1348753,20/07/2022,302300.0,12,CHE,0693,DES PALANQUES NORD,31120,PORTET SUR GARONNE,31,433,60,,2,2,61,3,0,62.0,2,0,1,1,0,0
1347095,06/07/2022,243500.0,29,BD,5052,DE LARRAMET,31300,TOULOUSE,31,555,537,,4,3,68,4,0,0.0,2,0,1,1,0,0
1388275,10/03/2022,160000.0,23,RUE,0875,DES VANNIERS,31270,VILLENEUVE TOLOSANE,31,588,267,,0,1,63,3,253,0.0,1,0,0,0,0,1
1349975,20/07/2022,269390.0,28,RUE,0695,MONTAIGNE,31700,BLAGNAC,31,69,472,,2,3,45,2,0,0.0,2,0,1,1,0,0
1377378,15/12/2022,552000.0,1071,RTE,0002,DE BEOU,31620,GARGAS,31,211,290,,0,1,168,10,2290,0.0,2,0,0,0,0,1
1357135,18/08/2022,4122000.0,13,RUE,8676,VALADE,31000,TOULOUSE,31,555,24,,0,3,177,4,738,0.0,6,0,1,1,1,0
1363295,28/09/2022,250000.0,8,RUE,0135,DE LA NEGRETTE,31620,FRONTON,31,202,730,,0,1,102,4,934,0.0,1,0,0,0,0,1
1335900,17/05/2022,399000.0,,CHE,1110,DE SAINT JEAN,31770,COLOMIERS,31,149,376,,2,,0,0,0,0.0,2,1,0,0,0,0
1345997,13/07/2022,510000.0,,,B043,SARTA,31140,ST LOUP CAMMAS,31,497,5,,0,,0,0,74695,0.0,3,0,0,0,0,0
1349194,13/07/2022,1395000.0,,,B045,CORNAUDRIC SUD-EST,31240,L UNION,31,561,2,,0,,0,0,1601,0.0,3,0,0,0,0,0
1346826,04/07/2022,330000.0,35,AV,0472,JEAN BAPTISTE DE LAMARCK,31130,BALMA,31,44,426,,2,2,51,2,0,0.0,2,0,1,1,0,0
1341981,17/06/2022,1236860.0,35,RUE,0130,DU PASTEL,31650,LAUZERVILLE,31,284,398,,0,1,168,6,920,0.0,2,0,0,1,0,1
1350566,13/07/2022,3025000.0,,,B047,LOUBIEZ,31560,GIBEL,31,220,91,,0,,148,6,3941,0.0,11,0,0,1,0,1
1353259,25/07/2022,350000.0,28,RUE,0695,MONTAIGNE,31700,BLAGNAC,31,69,472,,2,3,71,3,0,0.0,2,0,1,1,0,0
1392220,30/04/2022,517000.0,69,AV,0880,MARECHAL FOCH,31110,BAGNERES-DE-LUCHON,31,42,363,,4,3,48,3,0,0.0,4,0,1,1,0,0
1362139,12/09/2022,249000.0,3,RUE,8385,DE TANGER,31400,TOULOUSE,31,555,194,,1,2,61,3,0,0.0,1,1,1,0,0,0
1363956,28/09/2022,1203000.0,8,CHE,0130,DU CASTELET,31120,PORTET SUR GARONNE,31,433,244,,0,3,184,4,3756,0.0,3,0,0,1,0,1
1332813,19/04/2022,100000.0,6,RUE,0650,RIMBAUD,31240,ST JEAN,31,488,311,,2,2,27,1,0,0.0,2,0,1,1,0,0
1342961,13/06/2022,591993.0,153,RUE,1996,DE CHAUSSAS,31200,TOULOUSE,31,555,369,,5,2,58,3,0,0.0,3,0,1,1,0,0
1392426,05/05/2022,206500.0,9,RUE,1794,DES CIMES,31800,SAINT-GAUDENS,31,483,149,,0,1,99,5,660,0.0,1,0,0,0,0,1
1346438,18/07/2022,3000.0,,,B032,CONQUES,31660,BUZET-SUR-TARN,31,94,776,,0,,0,0,3913,0.0,1,0,0,0,0,0
1366901,12/10/2022,359300.0,11,RUE,0555,DE CRUCHEN,31490,LEGUEVIN,31,291,20,,0,1,98,5,827,0.0,1,0,0,0,0,1
1335212,13/05/2022,375330.0,6,RUE,0328,ANDRE VASSEUR,31200,TOULOUSE,31,555,471,,2,2,58,3,0,0.0,2,0,1,1,0,0
1373593,08/12/2022,72000.0,7,AV,0665,DES PYRENEES,31240,L UNION,31,561,143,,4,,0,0,0,0.0,4,1,0,0,0,0
1404071,12/10/2022,1360000.0,29,CHE,0550,DES MAILHEAUX,31270,VILLENEUVE TOLOSANE,31,588,373,,0,1,105,4,3076,0.0,4,0,0,1,0,1
1351152,18/07/2022,1032500.0,,,B039,SAINT JEAN LE MAIGRE,31290,LUX,31,310,20,,0,,0,0,153099,0.0,7,0,0,0,0,0
1373406,08/12/2022,784500.0,10,RUE,0666,MAX FISCHL,31700,BLAGNAC,31,69,184,,0,1,84,4,163,0.0,3,0,0,1,0,1
1356857,26/08/2022,1028000.0,177,CHE,5028,LAPUJADE,31200,TOULOUSE,31,555,57,,2,2,561,3,462,0.0,3,0,1,1,1,0
1348383,18/07/2022,986000.0,26,RUE,7004,DU PONT GUILHEMERY,31000,TOULOUSE,31,555,33,,4,4,140,3,0,0.0,4,0,1,1,1,0
1319052,09/02/2022,154000.0,8,RUE,7525,ROBERT ARON,31100,TOULOUSE,31,555,235,,2,2,32,1,0,0.0,2,0,1,1,0,0
1379065,15/12/2022,1028300.0,12,RUE,0030,DU VINGT AOUT 1944,31620,VILLAUDRIC,31,581,152,,0,1,1108,3,6538,0.0,3,0,0,0,1,1
1336507,24/05/2022,469800.0,19,RUE,3139,EUGENE HUMBERT GUITARD,31500,TOULOUSE,31,555,197,,0,1,94,5,420,0.0,1,0,0,0,0,1
1361460,28/09/2022,7270000.0,376,AV,0125,DES ETATS UNIS,31140,AUCAMVILLE,31,22,377,,0,4,1530,0,5999,0.0,1,0,0,0,1,0
1396397,13/07/2022,276000.0,,,B010,CUQS,31410,LE FAUGA,31,181,1224,,0,,0,0,11983,0.0,11,0,0,0,0,0
1397225,13/07/2022,235000.0,,,B011,VILLAGE OUEST,31190,LABRUYERE DORSA,31,256,222,,0,,0,0,1826,0.0,2,0,0,0,0,0
