SPECTACLES,ARTISTES,LIEUX,TEMPS,TARIF,SAM_5,DIM_6,LUN_7,MAR_8,MER_9,JEU_10,VEN_11,SAM_12,DIM_13,LUN_14,MAR_15,MER_16,JEU_17,VEN_18,SAM_19,DIM_20,LUN_21,MAR_22,MER_23,JEU_24,VEN_25,SAM_26,address,latitude,longitude
Vive le sujet ! Tentatives Serie 2,"Soa Ratsifandrihana, Yasmine Hadj Ali,Antoine Kobi, Ike Zacsongo-Joseph",Jardin de la Vierge du lycée Saint-Joseph,1h30,B,,,,,,,,,,,,10h30_18h,10h30_18h,10h30_18h,10h30_18h,,,,,,,,62 rue des Lices 84000 Avignon,43.94555,4.81086
One s own room Inside Kabul,"Caroline Gillet, Kubra Khademi, Sumaia Sediqi",Salle des colloques – Cloître Saint-Louis,1h,B,,,,,,,,,,,,9h30_10h45_12h_ 13h15_16h_17h15_18h30,9h30_10h45_12h_ 13h15_16h_17h15_18h30,9h30_10h45_12h_ 13h15_16h_17h15_18h30,9h30_10h45_12h_ 13h15_16h_17h15_18h30,,9h30_10h45_12h_13h15_16h_17h15_18h30,,,,,,20 rue du portail Boquier 84000 Avignon,43.943603,4.804582
Rinse,"Amrita Hepi, Mish Grigor",Gymnase du lycée Mistral,50min,C,,,,,,,,,,,,,18h,12h18h,18h,,18h,18h,,,,,20 boulevard Raspail 84000 Avignon,43.9455,4.80206
Gahugu Gato (Petit Pays),"Dida Nibagwire, Frederic Fisbach",Cloître des Célestins,1h45,C,,,,,,,,,,,,,22h,22h,,22h,22h,22h,,,,,place des Corps-Saints 84000 Avignon,43.94393,4.80776
Le Proces Pelicot,Hommage a Gisele Pelicot,Cloître des Carmes,3h,/,,,,,,,,,,,,,,22h,,,,,,,,,Place des Carmes 84000 Avignon,43.95094,4.81294
Derniers Feux,Nemo Flouret,Cour du lycée Saint-Joseph,2h,C,,,,,,,,,,,,,,,22h,22h,22h,,22h,22h,22h,,62 rue des Lices 84000 Avignon,43.94576,4.81144
Le Soulier de satin,"Eric Ruf, Comedie-Francaise",Cour d'honneur du palais des Papes,8h,G,,,,,,,,,,,,,,,22h,22h,,22h,22h,22h,22h,,Place du Palais 84000 Avignon,43.950612,4.807351
TAIRE,Tamara Al Saadi,La FabricA du Festival d'Avignon,2h,C,,,,,,,,,,,,,,,,,13h,13h,13h,,,,11 rue Paul Achard 84000 Avignon,43.934772,4.797077
Les Incredules,Samuel Achache,Opéra Grand Avignon,2h,E,,,,,,,,,,,,,,,,,,17h,17h,17h,17h,,place de l'Horloge 84000 Avignon,43.94974,4.80573
Vive le sujet ! Tentatives Serie 3,"Sol�ne Wachter, Suzanne de Baecque",Jardin de la Vierge du lycée Saint-Joseph,1h30,B,,,,,,,,,,,,,,,,,,,10h30_18h,10h30_18h,10h30_18h,10h30_18h,62 rue des Lices 84000 Avignon,43.94555,4.81086
YES DADDY,"Bashar Murkus, Khulood Basel",Théâtre Benoît-XII,1h15,C,,,,,,,,,,,,,,,,,,,,18h,18h,18h,12 rue des Teinturiers 84000 Avignon,43.94509,4.81299
Soma  concert de cloture,Branko,La FabricA du Festival d'Avignon,2h30,C,,,,,,,,,,,,,,,,,,,,,,22h,11 rue Paul Achard 84000 Avignon,43.934772,4.797077
EXPOSITION Les Cles du Festival,,Jardin de la rue de Mons – Maison Jean Vilar,,I,11h_12h_13h_14h_15h_16h_17h_18h_19h,,,,,,,,,,,,,,,,,,,,,,Rue de Mons 84000 Avignon,43.94961,4.80672
EXPOSITION L Arriere-pays,,Museee des Curiosites église des Célestins,,/,11h_12h_14h_15h_16h_17h_18h,,,11h_12h_14h_15h_16h_17h_18h,,,,,,,11h_12h_14h_15h_16h_17h_18h,,,,,,,11h � 13h et de 14h � 19h,,,,,,,
